Clase de sitio,Nueva clase,Subclase
CAFETERIAS,LOCAL ALIMENTOS,
"MATADEROS, CARNICERIA Y SIMILARES",LOCAL ALIMENTOS,
CONSULTORIOS MEDICOS,INSTITUTOS DE SALUD,
INSTALACIONES DEL EJERCITO,FUERZA PUBLICA,
COMEDORES Y/O COCINA,LOCAL ALIMENTOS,
TRANSPORTE PÚBLICO,VIAS PUBLICAS,
CORREDORES FLUVIALES,SECTOR MARITIMO Y FLUVIAL,
ALIMENTADOR BUS TRANSMILENIO,VIAS PUBLICAS,
CAFE INTERNET,LOCAL COMERCIAL,
CASA DE LENOCINIO,LOCAL SERVICIO ENTRETENIMIENTO,
"FERRERERAS, MARRANERAS Y CABALLERIZAS",AREA RURAL,
"BARES, CANTINAS Y SIMILARES",LOCAL SERVICIO ENTRETENIMIENTO,
ESTACION TRANSMILENIO (INICIAL),ESTACION TRANSPORTE PUBLICO,
PLAZAS DE MERCADO,LOCAL COMERCIAL,
HOSPITALES,INSTITUTOS DE SALUD,
TALLERES LATONERIA,LOCAL SERVICIO AUTOMOTRIZ,
"SEDES SOCIALES, CLUBES O SIMILARES",CENTRO SOCIAL,
C.A.M.I.,INSTITUTOS DE SALUD,
TALLERES,LOCAL SERVICIO AUTOMOTRIZ,
BUS METROPLUS,VIAS PUBLICAS,
LUGAR DE EVENTOS,CENTRO SOCIAL,
CONSULTORIOS  ODONTOLOGICOS,INSTITUTOS DE SALUD,
FRENTE A DISCOTECAS,VIAS PUBLICAS,"Calles, callejones, andenes."
CASAS DE APUESTAS,LOCAL COMERCIAL,
FRENTE A BANCO - VIA PUBLICA,VIAS PUBLICAS,"Calles, callejones, andenes."
VEHICULO MOTO,VIAS PUBLICAS,
ESTACION TRANSPORTE MASIVO,ESTACION TRANSPORTE PUBLICO,
IGLESIA,CENTRO RELIGIOSO,
TANQUE DE AGUA,OTRO,
BAHIA,OTRO,
CALETA,OTRO,
FIJO,OTRO,
ESCENARIOS DEPORTIVOS,CENTRO DEPORTIVO Y RECREACIONAL,
ESTADIO,CENTRO DEPORTIVO Y RECREACIONAL,
TRANSPORTE MASIVO,VIAS PUBLICAS,
FABRICAS,SECTOR INDUSTRIA,
EL METRO,VIAS PUBLICAS,
HOGAR DE PASO,INSTITUTOS DE SALUD,
ENTIDAD PUBLICA / ESTATAL,ENTIDAD PUBLICA,
CAÑOS,LOTE BALDIO,
HELADERIA,LOCAL ALIMENTOS,
TERMINAL DE TRANSPORTES,ESTACION TRANSPORTE PUBLICO,
ZONA DE PARQUEO,LOCAL SERVICIO AUTOMOTRIZ,
CENTRO TURÍSTICO,CENTRO TURÍSTICO,
FRONTERA,OTRO,
TERMINAL MARITIMA,SECTOR MARITIMO Y FLUVIAL,
FRENTE OFICINA,VIAS PUBLICAS,"Calles, callejones, andenes."
AEROPUERTO,AEROPUERTO,
CORPORACIONES,ENTIDAD PUBLICA,
CARRIL EXCLUSIVO TRANSPORTE MASIVO,VIAS PUBLICAS,
PUENTE PEATONAL,VIAS PUBLICAS,"Calles, callejones, andenes."
BIBLIOTECA,CENTRO CULTURAL,
INSTALACIONES GUBERNAMENTALES,ENTIDAD PUBLICA,
HOGARES / GERIATRICO,INSTITUTOS DE SALUD,
